method,metric,rate,mean,std,n
DCS,f1,10,0.593326,0.048409,10
DCS,f1,20,0.590691,0.054068,10
DCS,f1,30,0.588063,0.054196,10
DCS,f1,40,0.578951,0.047321,10
DCS,f1,50,0.596567,0.051420,10
DCS,f1,60,0.597029,0.056364,10
DCS,f1,70,0.602999,0.055301,10
DCS,f1,80,0.611775,0.052997,10
DCS,f1,90,0.621848,0.047763,10
DCS,f1,100,0.627614,0.047412,10
GNC,f1,10,0.834185,0.208713,10
GNC,f1,20,0.910613,0.168916,10
GNC,f1,30,0.910694,0.168859,10
GNC,f1,40,0.748532,0.202680,10
GNC,f1,50,0.875512,0.195845,10
GNC,f1,60,0.754047,0.208323,10
GNC,f1,70,0.879634,0.187297,10
GNC,f1,80,0.750388,0.204798,10
GNC,f1,90,0.689120,0.168492,10
GNC,f1,100,0.953549,0.127203,10
PCM,f1,10,0.364774,0.072527,10
PCM,f1,20,0.336490,0.187248,10
PCM,f1,30,0.332418,0.228110,10
PCM,f1,40,0.160898,0.201271,10
PCM,f1,50,0.240342,0.259866,10
PCM,f1,60,0.144462,0.210861,10
PCM,f1,70,0.232677,0.266412,10
PCM,f1,80,0.329126,0.274513,10
PCM,f1,90,0.382672,0.256116,10
PCM,f1,100,0.283790,0.272745,10
